url,language,date,title,description,imageUrl
https://www.opendemocracy.net/en/5050/tanzania-ngorongoro-maasai-eviction-murder-trial,English,2022-07-08,Tanzania is using murder charges to get nomadic Maasai off their homelands,Violence accompanies plans to expand a wildlife reserve at the expense of traditional grazing lands,https://cdn2.opendemocracy.net/media/images/BPXK7N.max-760x504.jpg
https://nextcity.org/urbanist-news/facing-an-energy-crisis-a-syrian-engineer-designed-electric-tuk-tuks,English,2022-07-11,"Facing an Energy Crisis, a Syrian Engineer Designed Electric Tuk-Tuks","The electric-powered tuk-tuks are a hit among university students, many of whom had stopped attending classes due to the exorbitant costs of cabs.",https://nextcity.org/images/made/electric_tuktuks_3_920_690_80.jpeg
https://edition.cnn.com/2022/07/13/africa/rwanda-skin-whitening-ban-as-equals-intl-cmd/index.html ,English,2022-07-13,"Rwanda made the sale of skin whitening products a crime. It's working, but underground market persists",Sierra asks to use a pseudonym for fear of being caught by the authorities. The 27-year-old shopkeeper explains that she can't maintain her seven-year skin lightening routine because a ban has made the products unaffordable.,https://cdn.cnn.com/cnnnext/dam/assets/220711111539-05-rwanda-skin-whitening-as-equals-super-169.jpg
https://www.theguardian.com/global-development/2022/jul/18/botswana-mother-baby-transmission-hiv-rates-fall-who,English,2022-07-18,‘A bright life ahead’: Botswana on path to seeing no babies born with HIV,Country may be Africa’s first to stop mother-baby transmission as WHO hails ‘groundbreaking’ fall in rates from 40% to 1%,https://i.guim.co.uk/img/media/6710d21ae963739fc241209f1f870f7f69a7ff17/0_362_4954_2973/master/4954.jpg?width=620&quality=45&fit=max&dpr=2&s=3c29ebc9a248f1f31a9858b5c7efd123
,
https://nextcity.org/urbanist-news/creating-green-spaces-amid-kenyas-largest-dumpsite-dandora,English,2022-08-03,Creating Green Spaces Amid Kenya’s Largest Dumpsite,,https://nextcity.org/images/made/Republic_spaces_network_600_350_s_c1_920_536_80.jpg
https://www.csmonitor.com/Daily/2022/20220804?cmpid=ema:ddp:20220804:1148078:hed&sfmc_sub=214840287#1148078,English,2022-08-04,How Egypt gets leftover food in the hands of hungry people,,https://images.csmonitor.com/csm/2022/08/0803%20FOODWASTE%20food.jpg?alias=original_1200
https://www.positive.news/lifestyle/arts/its-therapeutic-the-kiosk-helping-war-torn-syria-reconnect-with-literature/,English,2022-08-09,‘Syrians need this’: the kiosk helping a war-torn nation reconnect with literature,,https://www.positive.news/wp-content/uploads/2022/08/Image-6-min-1800x0-c-center.jpg
https://www.thenationalnews.com/mena/egypt/2022/09/04/designer-burkini-makes-waves-and-changes-attitudes-at-egypts-luxury-resorts/,English,2022-09-04,Designer burkini makes waves and changes attitudes at Egypt’s luxury resorts,,https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/CLObyIWhtiN-wbl8-HPwN5fewdA=/800x0/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/thenational/USEHJKEC45GI5JFGZ2FAPTRO3Y.JPG
https://www.thenewhumanitarian.org/news/2022/09/06/Iraq-wheat-farmers-climate-change-conflict,English,2022-09-06,"Climate change leaves Iraq’s ‘breadbasket’ with less water, wheat, and farmers",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_small/public/iraq-food3.jpg.webp?itok=ByyiLOOp
https://www.thenationalnews.com/mena/2022/09/11/for-benghazi-residents-2012-attack-on-us-compound-started-citys-descent-into-violence/,English,2022-09-11,"For Benghazi residents, 2012 attack on US compound started city's descent into violence",,https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/sj4xM1hL7nA3doja0JmNP_se1hg=/800x0/filters:format(jpg):quality(70):focal(1315x781:1325x791)/cloudfront-eu-central-1.images.arcpublishing.com/thenational/YQKNANFPUREMXL4GXTMWJ4HNXU.jpg
https://www.thenationalnews.com/gulf-news/2022/09/13/yemeni-women-celebrate-countrys-shift-towards-gender-equality/,English,2022-09-13,Yemeni women celebrate country's shift towards gender equality,,https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/9KzzEQwhlfm1UpYZ1YFifum9RYU=/800x0/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/thenational/LSGLZOLKJNF53BQWIMOUE7KLWQ.jpg
https://qz.com/technology-is-changing-the-face-of-farming-in-egypt-1849504460,English,2022-09-15,Technology is changing the face of farming in Egypt,,"https://i.kinja-img.com/image/upload/c_fit,q_60,w_1600/aa0f8765b967aac5ead6b6edbe2b8fdc.jpg"
https://www.thenationalnews.com/weekend/2022/09/23/how-citizen-patrols-are-saving-syrias-forests-from-another-season-of-wildfires/,English,2022-09-23,How citizen patrols are saving Syria’s forests from another season of wildfires,,https://thenational-the-national-prod.cdn.arcpublishing.com/resizer/71JYXigrIm7m8RGJSW01TPs_sXY=/800x0/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/thenational/7JGJNV6QUVGBVBACMSFQLEVUSQ.jpg
https://nextcity.org/urbanist-news/ecobarter-nigeria-the-recycling-app-that-supports-displaced-women1,English,2022-09-27,The Recycling App That Supports Displaced Women,,https://nextcity.org/images/made/ecobarter_app_1_920_690_80.jpeg
https://nextcity.org/features/a-jordanian-collective-works-toward-food-sovereignty-through-urban-farming,English,2022-10-11,A Jordanian Collective Works Toward Food Sovereignty Through Urban Farming,,https://nextcity.org/images/made/al_barakeh_jordan_3_1400_933_80.jpeg
